annee,region,culture,saison,temperature_C,precipitations_mm,humidite_pct,rayonnement_MJm2,etp_mmd,co2_ppm,usage_terres_pct,stress_ecologique_idx,type_sol,ph_sol,matiere_organique_pct,N_kgha,P_kgha,K_kgha,irrigation,pratique_agricole,altitude_m,superficie_ha,rendement_tha,production_t
2009,Ouest,maïs,grande_saison_pluies,21.63,2140.95,83.91,14.84,6.02,395.43,49.12,52.38,limoneux,5.65,2.87,58.06,72.81,65.41,aspersion,améliorée,1883.1,0.1,1.76,0.18
2017,Nord-Ouest,maïs,petite_saison_pluies,14.05,1287.83,73.46,14.36,4.4,418.25,52.96,47.28,andosolique,6.22,4.72,108.79,64.55,91.24,gravitaire,intégrée,1073.6,4.88,1.67,8.15
2005,Extrême-Nord,coton,petite_saison_sèche,35.82,697.66,47.01,22.03,5.17,387.04,42.09,30.18,vertisol,6.05,0.84,105.78,24.11,30.16,aspersion,intégrée,262.4,2.41,1.03,2.48
2008,Adamaoua,patate_douce,petite_saison_sèche,20.78,1447.99,64.18,13.91,5.02,396.26,33.76,16.79,ferrallitique_lessivé,5.88,4.74,73.52,19.92,133.08,goutte-à-goutte,intégrée,1175.6,2.43,7.93,19.27
2002,Sud,café_robusta,petite_saison_sèche,25.92,1233.39,86.46,16.6,4.06,385.87,80.92,5.47,hydromorphe,5.79,4.05,63.99,41.84,85.41,goutte-à-goutte,améliorée,537.7,2.78,0.72,2.0
2019,Nord-Ouest,haricot,petite_saison_pluies,16.28,1558.71,59.31,15.31,3.02,426.03,62.85,72.83,limon-argileux,5.64,2.57,20.01,37.2,70.91,pluviale,conventionnelle,1839.0,0.94,0.55,0.52
2001,Sud,ananas,petite_saison_pluies,23.51,1618.79,79.7,14.79,4.42,379.24,49.94,29.92,sableux_forestier,6.05,3.62,92.94,23.15,231.67,pluviale,intégrée,592.0,5.11,15.46,79.0
2015,Centre,cacaotier,saison_sèche,29.18,1348.63,83.7,21.63,6.2,419.97,46.37,54.91,alluvial,6.45,0.85,44.4,41.2,115.04,pluviale,intégrée,724.0,3.32,0.81,2.69
2002,Nord-Ouest,maïs,saison_sèche,14.87,1484.28,63.33,24.0,4.78,384.93,25.47,45.19,limon-argileux,6.1,1.87,91.87,30.11,98.6,aspersion,intégrée,2071.9,1.05,1.7,1.78
2001,Sud-Ouest,palmier_à_huile,petite_saison_pluies,23.97,3288.23,83.59,14.83,4.24,381.33,57.61,35.16,alluvial,4.76,1.34,68.07,37.52,199.78,non_irriguée,traditionnelle,85.2,1.22,14.98,18.28
2019,Sud-Ouest,ananas,petite_saison_sèche,24.51,3475.83,91.83,18.78,4.03,421.79,51.12,35.56,ferrallitique,6.17,3.31,103.6,31.55,219.37,aspersion,biologique,139.6,0.16,4.44,0.71
2000,Extrême-Nord,mil,grande_saison_pluies,31.26,599.46,33.16,23.8,4.15,382.21,61.08,26.36,vertisol,5.02,2.97,39.74,20.53,21.43,aspersion,conventionnelle,250.1,4.0,0.4,1.6
2004,Sud-Ouest,ananas,petite_saison_pluies,28.11,2974.38,85.74,11.77,4.05,387.38,47.82,54.38,ferrallitique,5.25,4.84,63.23,27.04,225.51,non_irriguée,améliorée,8.5,0.71,12.12,8.61
2011,Nord,coton,saison_sèche,32.23,826.48,24.13,19.03,5.54,402.59,35.64,26.45,sableux,6.73,1.63,80.7,35.3,62.21,pluviale,traditionnelle,359.3,2.67,0.92,2.46
2008,Extrême-Nord,coton,grande_saison_pluies,34.28,547.88,20,14.4,5.97,395.52,67.83,15.62,vertisol,6.47,4.02,68.5,24.91,28.78,gravitaire,intégrée,150.4,6.21,0.81,5.03
2006,Littoral,bananier,petite_saison_pluies,24.67,2295.13,82.29,20.04,5.14,393.82,44.6,58.47,sableux_côtier,5.42,1.62,212.19,50.08,288.29,pluviale,conventionnelle,106.5,0.58,13.88,8.05
2005,Extrême-Nord,coton,petite_saison_sèche,32.52,419.32,43.88,19.48,4.48,388.18,59.67,15.65,halomorphe,6.28,4.06,107.49,36.44,88.59,pluviale,intégrée,283.4,0.31,1.43,0.44
2016,Sud,ananas,grande_saison_pluies,24.01,1544.18,87.83,13.06,3.87,409.42,46.39,35.62,hydromorphe,5.83,1.8,77.31,42.81,194.38,aspersion,biologique,539.3,1.31,20.44,26.78
2022,Littoral,maïs,grande_saison_pluies,22.87,2605.57,78.75,10.55,4.19,430.26,97.77,45.47,ferrallitique,5.55,1.94,96.02,47.88,78.17,goutte-à-goutte,traditionnelle,0,3.85,0.15,0.58
2002,Sud-Ouest,ananas,petite_saison_sèche,26.59,3265.09,88.95,23.4,5.58,379.86,76.23,57.07,ferrallitique,5.23,5.24,89.27,41.73,198.93,pluviale,traditionnelle,205.0,0.1,6.03,0.6
2015,Sud,ananas,saison_sèche,24.23,1524.19,83.46,19.56,2.54,409.82,45.12,22.79,hydromorphe,5.37,1.76,111.41,30.02,288.35,goutte-à-goutte,conventionnelle,624.5,3.42,12.74,43.57
2010,Ouest,oignon,petite_saison_sèche,23.98,2279.0,76.17,16.03,3.56,401.2,74.04,40.0,andosolique,6.38,0.52,112.63,42.56,144.13,non_irriguée,traditionnelle,981.1,0.52,2.22,1.15
2024,Centre,manioc,petite_saison_sèche,23.6,1712.0,68.86,17.85,3.02,438.54,40.33,25.12,ferrallitique,5.88,2.69,57.68,32.83,123.43,gravitaire,conventionnelle,753.7,4.24,8.54,36.21
2012,Centre,ananas,petite_saison_pluies,26.32,1425.53,78.05,18.32,5.45,414.58,52.01,30.03,ferrallitique,5.95,3.91,82.08,57.2,178.11,goutte-à-goutte,intégrée,887.7,0.1,12.85,1.29
2002,Littoral,macabo,petite_saison_sèche,24.09,2442.38,93.42,14.84,4.33,392.77,43.49,43.92,sableux_côtier,5.19,3.95,37.58,22.84,91.59,pluviale,améliorée,22.0,4.31,4.45,19.18
2004,Littoral,ananas,petite_saison_pluies,27.84,1923.61,73.43,18.27,4.13,393.46,42.35,24.45,alluvial,5.4,1.65,83.69,43.53,204.88,pluviale,biologique,182.8,3.16,15.47,48.89
2001,Nord-Ouest,riz,petite_saison_pluies,19.66,1825.49,70.22,13.53,4.34,388.16,55.9,53.77,limon-argileux,5.9,1.0,90.95,60.77,63.88,goutte-à-goutte,conventionnelle,2128.0,0.1,2.07,0.21
2003,Est,manioc,grande_saison_pluies,23.06,1221.47,75.42,13.66,4.86,385.95,51.45,35.34,ferrallitique,5.51,1.45,53.58,27.07,107.06,goutte-à-goutte,biologique,665.7,4.68,4.91,22.98
2019,Est,palmier_à_huile,grande_saison_pluies,22.19,1354.58,87.22,21.39,5.26,422.76,58.72,23.6,hydromorphe,5.13,4.86,105.24,49.55,172.52,pluviale,intégrée,804.0,1.81,11.82,21.39
2001,Sud,ananas,petite_saison_pluies,28.39,1783.23,82.38,13.31,5.35,384.48,51.08,30.86,sableux_forestier,5.28,4.15,109.89,32.49,214.98,gravitaire,améliorée,613.2,4.02,14.26,57.33
2014,Sud,manioc,petite_saison_sèche,24.62,1683.62,88.65,20.23,2.7,405.74,59.94,30.14,ferrallitique,5.68,3.75,64.05,41.0,119.37,non_irriguée,intégrée,519.7,2.52,6.21,15.65
2019,Sud-Ouest,bananier,saison_sèche,25.97,2639.68,89.5,23.08,3.29,430.62,60.48,15.25,ferrallitique,6.82,2.54,178.15,68.63,300.81,pluviale,traditionnelle,211.4,2.77,14.42,39.94
2018,Nord,oignon,petite_saison_sèche,36.8,1002.87,51.03,15.61,4.19,428.6,64.4,58.23,sableux,6.89,4.08,76.14,64.02,80.58,aspersion,conventionnelle,552.4,3.0,2.23,6.69
2015,Ouest,tomate,petite_saison_pluies,19.47,1581.86,75.96,15.35,5.45,420.36,74.25,56.74,ferrallitique_rouge,6.25,2.28,172.8,73.5,141.47,aspersion,biologique,1291.3,0.69,6.88,4.75
2012,Est,manioc,saison_sèche,23.7,1528.84,89.95,21.63,4.52,399.25,39.64,38.75,hydromorphe,6.71,0.56,50.51,16.97,132.1,aspersion,biologique,534.4,3.75,7.09,26.59
2024,Ouest,café_arabica,saison_sèche,23.71,1645.51,81.13,17.39,3.2,436.29,58.45,35.38,andosolique,6.09,3.12,78.07,42.28,63.01,pluviale,améliorée,1578.4,4.08,0.86,3.51
2006,Centre,ananas,saison_sèche,24.03,1871.45,90.54,15.1,5.45,392.87,37.67,16.64,ferrallitique,5.09,3.04,61.53,23.1,176.2,goutte-à-goutte,améliorée,847.9,2.43,15.66,38.05
2024,Sud,ananas,saison_sèche,27.0,1800.21,86.83,16.51,4.18,437.64,48.57,35.61,ferrallitique,6.6,1.83,82.85,22.03,176.88,non_irriguée,conventionnelle,447.6,3.87,23.56,91.18
2007,Nord-Ouest,riz,petite_saison_pluies,19.47,1772.76,71.95,16.47,4.12,394.85,44.79,31.34,ferrallitique_rouge,5.2,4.03,107.68,35.05,79.24,aspersion,biologique,1473.9,2.64,1.72,4.54
2007,Ouest,café_arabica,petite_saison_sèche,24.31,1633.93,73.43,23.36,3.79,399.01,42.29,39.33,limoneux,6.32,0.97,71.79,39.65,98.59,goutte-à-goutte,conventionnelle,1690.1,1.57,0.34,0.53
2012,Est,bananier,grande_saison_pluies,21.37,1620.9,97.65,14.87,5.06,404.72,44.71,40.17,alluvial,5.34,2.87,243.51,94.45,285.03,aspersion,améliorée,694.1,0.1,17.61,1.76
2008,Sud-Ouest,cacaotier,saison_sèche,22.19,3341.28,91.72,20.56,4.85,395.41,68.49,39.45,volcanique,6.04,4.27,90.95,19.74,152.92,pluviale,biologique,0,3.75,0.54,2.03
2017,Est,palmier_à_huile,petite_saison_sèche,29.02,1586.05,79.7,20.07,6.38,415.11,68.89,40.25,ferrallitique,6.0,3.34,106.45,45.68,129.32,gravitaire,améliorée,530.0,2.23,16.55,36.91
2006,Nord,tomate,petite_saison_sèche,28.64,968.95,44.69,14.94,3.79,391.48,60.34,35.11,sableux,5.58,2.37,127.14,50.57,227.97,non_irriguée,conventionnelle,502.5,3.96,3.06,12.12
2010,Extrême-Nord,oignon,petite_saison_sèche,28.88,610.64,38.49,16.12,3.26,395.9,92.63,24.73,sableux,5.83,2.15,77.04,44.93,144.54,non_irriguée,intégrée,358.9,3.03,6.1,18.48
2009,Est,maïs,grande_saison_pluies,26.3,1236.35,75.91,20.21,4.58,400.67,67.19,59.72,hydromorphe,5.43,3.84,72.0,67.87,64.06,pluviale,améliorée,570.9,4.12,0.9,3.71
2022,Ouest,café_arabica,saison_sèche,19.12,1828.04,80.48,14.16,3.47,435.24,78.27,31.15,limoneux,5.62,2.61,90.99,44.0,91.49,goutte-à-goutte,biologique,1467.2,3.59,0.61,2.19
2014,Nord,oignon,grande_saison_pluies,25.67,678.45,55.43,19.95,4.73,410.23,43.97,64.64,brun_subaride,6.16,3.1,59.38,57.13,177.18,aspersion,traditionnelle,326.5,5.37,7.18,38.56
2008,Sud-Ouest,poivre,petite_saison_pluies,28.36,2331.27,82.77,19.49,4.49,401.25,25.95,51.52,alluvial,5.91,3.07,53.44,28.73,81.32,aspersion,biologique,231.8,0.1,1.48,0.15
2000,Centre,tomate,petite_saison_pluies,28.02,1387.69,75.1,22.74,4.28,382.86,21.35,37.58,ferrallitique,6.42,4.64,139.45,55.83,176.26,pluviale,intégrée,611.7,2.89,10.03,28.99
2003,Nord,arachide,petite_saison_pluies,28.04,1087.41,56.56,27.57,6.2,390.72,32.41,37.83,vertisol,5.68,2.56,16.0,53.05,75.44,pluviale,améliorée,513.1,2.55,1.06,2.7
2024,Littoral,cacaotier,petite_saison_pluies,25.04,2619.62,95.85,17.54,3.99,445.43,33.25,26.06,sableux_côtier,5.77,3.14,12.05,58.16,140.38,gravitaire,améliorée,58.5,3.4,0.5,1.7
2012,Sud-Ouest,poivre,petite_saison_pluies,26.51,2435.06,94.72,15.88,4.33,409.22,44.99,37.07,alluvial,5.6,4.77,55.88,31.26,62.4,aspersion,conventionnelle,2.1,3.97,1.66,6.59
2020,Adamaoua,pomme_de_terre,saison_sèche,21.07,1542.47,59.22,17.74,4.15,426.45,53.94,37.73,brun_eutrophe,5.58,3.36,138.77,76.96,244.94,non_irriguée,conventionnelle,1116.3,3.16,6.73,21.27
2011,Littoral,palmier_à_huile,petite_saison_pluies,25.3,2481.41,88.32,18.43,5.05,408.76,10.47,36.11,ferrallitique,5.13,2.35,133.34,53.55,199.07,aspersion,conventionnelle,46.2,1.29,11.28,14.55
2015,Ouest,maïs,petite_saison_pluies,20.01,1501.57,83.02,19.33,5.14,410.34,81.01,36.34,ferrallitique_rouge,6.43,3.79,104.86,54.26,112.88,non_irriguée,améliorée,1444.5,3.4,1.59,5.41
2005,Adamaoua,maïs,petite_saison_sèche,22.82,1650.87,54.0,25.86,5.97,394.7,75.66,48.94,brun_eutrophe,6.75,2.48,71.27,48.31,85.47,goutte-à-goutte,traditionnelle,1100.2,2.21,1.63,3.6
2004,Adamaoua,patate_douce,saison_sèche,24.07,1775.13,62.46,19.56,2.6,382.13,52.24,45.26,limoneux,6.0,3.36,66.0,29.41,149.59,goutte-à-goutte,traditionnelle,1039.8,0.1,5.32,0.53
2002,Extrême-Nord,mil,grande_saison_pluies,38.75,694.8,34.56,21.91,4.55,380.41,57.9,19.69,halomorphe,5.93,3.3,41.29,23.91,33.9,goutte-à-goutte,biologique,169.5,4.43,0.86,3.81
2018,Centre,palmier_à_huile,petite_saison_pluies,23.8,1678.06,81.35,24.38,4.85,412.95,66.23,15.72,alluvial,5.35,2.75,67.56,47.82,142.76,gravitaire,améliorée,551.3,3.74,13.2,49.37
2009,Littoral,macabo,saison_sèche,23.0,2721.23,87.45,19.88,3.26,400.44,31.81,59.82,ferrallitique,5.31,2.23,67.22,28.44,91.24,pluviale,conventionnelle,235.4,1.6,6.29,10.06
2012,Est,riz,petite_saison_pluies,29.87,1268.64,65.44,21.44,6.66,406.54,50.68,62.22,alluvial,6.37,0.66,89.98,58.88,87.87,goutte-à-goutte,conventionnelle,495.5,1.43,3.38,4.83
2002,Extrême-Nord,oignon,saison_sèche,32.11,715.84,43.2,23.5,5.04,388.57,57.92,32.63,halomorphe,6.67,0.93,112.43,69.49,149.55,goutte-à-goutte,traditionnelle,320.6,2.88,2.72,7.83
2013,Extrême-Nord,sorgho,petite_saison_pluies,27.5,790.07,20,22.83,5.13,419.11,44.01,46.87,vertisol,5.82,4.13,47.34,19.32,58.51,non_irriguée,biologique,238.2,2.94,0.51,1.5
2007,Nord,arachide,grande_saison_pluies,38.76,525.62,38.27,24.99,5.2,391.74,45.87,36.23,vertisol,5.74,1.61,20.71,31.07,82.88,goutte-à-goutte,traditionnelle,415.9,3.72,1.05,3.91
2018,Est,manioc,petite_saison_pluies,23.04,1561.62,91.73,19.32,5.37,421.7,39.7,50.79,hydromorphe,6.36,3.68,60.88,37.87,106.41,goutte-à-goutte,intégrée,540.7,1.5,5.26,7.89
2021,Sud,ananas,petite_saison_sèche,24.79,1533.93,93.49,23.91,3.59,419.46,48.54,48.15,ferrallitique,5.74,3.65,112.7,41.2,271.52,gravitaire,traditionnelle,678.6,4.62,30.76,142.11
2019,Nord-Ouest,maïs,petite_saison_pluies,26.22,1752.93,70.66,23.32,3.62,426.73,58.27,48.5,limon-argileux,4.81,2.91,93.55,60.65,83.18,pluviale,intégrée,1737.1,1.07,0.73,0.78
2008,Centre,ananas,saison_sèche,22.73,1893.54,86.76,16.58,4.79,393.72,59.36,45.55,hydromorphe,4.99,3.33,105.66,34.98,165.11,non_irriguée,biologique,629.5,2.96,14.43,42.71
2012,Extrême-Nord,niébé,petite_saison_pluies,40.3,656.89,40.35,20.65,5.97,408.34,76.47,25.91,sableux,6.23,5.18,22.26,18.53,43.03,aspersion,intégrée,269.2,1.46,0.61,0.89
2024,Sud,bananier,grande_saison_pluies,26.7,1809.76,78.73,17.54,2.79,434.78,28.39,31.56,sableux_forestier,5.86,5.62,151.34,16.82,329.09,pluviale,biologique,636.3,2.9,13.34,38.69
2010,Nord-Ouest,pomme_de_terre,petite_saison_pluies,26.69,1816.14,74.39,22.11,5.14,403.28,74.86,50.19,ferrallitique_rouge,6.29,1.88,149.54,71.85,293.83,goutte-à-goutte,améliorée,2623.9,4.57,1.95,8.91
2017,Ouest,café_arabica,saison_sèche,11.29,2079.48,80.01,14.84,5.14,414.65,66.16,14.33,ferrallitique_rouge,5.78,3.23,90.12,28.66,107.26,pluviale,biologique,1271.3,0.1,0.53,0.05
2009,Sud-Ouest,palmier_à_huile,petite_saison_sèche,25.45,2894.45,79.67,18.01,4.4,390.8,54.29,45.61,alluvial,5.58,1.13,106.03,33.06,179.95,aspersion,conventionnelle,112.5,2.52,8.17,20.59
2023,Extrême-Nord,oignon,saison_sèche,31.26,601.81,38.89,10.28,5.72,431.43,75.01,39.48,halomorphe,6.75,1.71,92.12,76.99,125.34,goutte-à-goutte,conventionnelle,410.7,5.67,2.6,14.74
2014,Sud,bananier,saison_sèche,25.54,1793.27,93.7,19.57,4.39,416.91,74.91,58.11,sableux_forestier,5.49,3.71,201.01,50.33,296.8,non_irriguée,conventionnelle,720.8,3.87,10.46,40.48
2005,Sud-Ouest,cacaotier,petite_saison_pluies,24.85,3095.26,86.94,21.85,3.7,385.56,71.04,67.83,alluvial,5.83,6.05,106.82,41.42,112.88,aspersion,traditionnelle,180.9,2.03,0.49,0.99
2015,Extrême-Nord,coton,petite_saison_sèche,29.7,752.25,37.98,20.99,6.74,415.7,48.6,44.59,sableux,5.46,4.51,57.34,20.5,37.25,goutte-à-goutte,intégrée,547.6,2.03,0.67,1.36
2009,Centre,ananas,grande_saison_pluies,23.25,1583.6,80.5,16.75,2.7,401.13,55.85,43.95,alluvial,5.62,4.63,94.62,25.0,229.69,gravitaire,traditionnelle,713.9,4.12,31.69,130.56
2006,Centre,maïs,grande_saison_pluies,26.55,1503.26,88.81,24.04,4.54,394.5,41.51,41.27,alluvial,6.22,2.34,87.79,63.5,92.46,non_irriguée,biologique,714.9,1.36,1.56,2.12
2022,Adamaoua,haricot,petite_saison_sèche,22.61,1144.96,75.75,17.86,5.29,433.35,82.11,53.11,brun_eutrophe,6.48,1.03,19.99,31.05,45.33,non_irriguée,intégrée,1480.4,0.82,0.17,0.14
2007,Nord,tomate,saison_sèche,37.01,884.3,31.52,22.76,4.23,398.45,42.51,48.26,vertisol,5.84,5.49,85.95,68.28,170.46,non_irriguée,traditionnelle,264.9,2.25,8.95,20.14
2003,Nord,oignon,saison_sèche,31.73,914.12,40.33,18.73,5.5,384.45,60.95,12.94,brun_subaride,6.64,3.16,91.35,64.0,171.77,aspersion,conventionnelle,300.7,0.1,3.54,0.35
2011,Ouest,tomate,saison_sèche,20.83,1693.09,66.61,17.76,3.93,410.8,58.78,14.92,andosolique,5.39,4.25,120.65,55.8,162.7,non_irriguée,intégrée,1809.2,4.64,7.51,34.85
2010,Centre,manioc,grande_saison_pluies,30.89,1635.96,73.15,8,3.31,403.46,41.55,44.97,hydromorphe,5.97,2.77,62.84,14.56,133.33,goutte-à-goutte,traditionnelle,678.7,0.64,6.32,4.04
2003,Nord-Ouest,pomme_de_terre,petite_saison_sèche,18.91,1818.56,63.28,18.61,3.99,387.07,40.62,38.69,ferrallitique_rouge,5.82,2.65,134.65,86.28,217.55,non_irriguée,traditionnelle,1566.5,1.1,8.55,9.41
2019,Nord-Ouest,riz,saison_sèche,22.94,1113.7,76.8,13.95,5.3,424.8,51.25,39.74,limon-argileux,4.79,3.81,96.26,45.09,95.98,pluviale,intégrée,1340.1,1.24,2.09,2.59
2003,Extrême-Nord,sorgho,grande_saison_pluies,29.39,291.45,37.38,22.49,5.79,388.27,44.01,39.86,vertisol,6.2,1.87,59.41,32.1,27.87,pluviale,intégrée,242.8,2.55,1.71,4.36
2016,Ouest,oignon,grande_saison_pluies,20.6,1125.88,65.85,15.92,2.73,427.07,67.02,35.42,andosolique,5.76,1.49,96.63,39.95,96.89,non_irriguée,améliorée,1748.5,2.61,6.0,15.66
2001,Adamaoua,riz,petite_saison_sèche,22.18,1447.07,63.42,17.5,3.39,386.01,52.73,29.99,limoneux,6.82,3.61,130.38,41.67,83.55,aspersion,améliorée,1241.4,4.77,1.42,6.77
2001,Nord-Ouest,pomme_de_terre,petite_saison_pluies,12.41,1675.9,74.49,13.64,3.54,380.39,75.68,31.49,ferrallitique_rouge,5.78,4.49,154.62,65.63,232.41,goutte-à-goutte,améliorée,1420.5,3.19,8.54,27.24
2001,Sud,palmier_à_huile,petite_saison_sèche,25.97,1639.33,88.25,21.59,5.32,381.49,33.09,51.19,hydromorphe,5.02,2.69,69.67,33.2,194.46,gravitaire,intégrée,536.5,0.32,13.06,4.18
2006,Sud-Ouest,bananier,saison_sèche,24.62,2685.19,88.92,22.41,3.74,395.03,39.72,32.52,alluvial,5.42,3.54,144.99,50.2,442.86,gravitaire,conventionnelle,186.1,2.09,13.59,28.4
2018,Adamaoua,patate_douce,saison_sèche,25.56,1419.02,60.97,21.91,5.06,418.8,66.54,35.27,ferrallitique_lessivé,5.55,2.29,45.82,29.26,122.48,aspersion,améliorée,1047.0,3.27,5.62,18.38
2011,Nord,mil,petite_saison_pluies,36.68,794.53,55.91,14.82,5.01,403.17,72.94,41.69,sableux,5.99,2.23,34.99,21.37,33.08,goutte-à-goutte,biologique,501.0,5.62,0.42,2.36
2010,Littoral,bananier,saison_sèche,26.1,2688.86,81.82,17.23,3.63,402.77,32.54,20.55,ferrallitique,5.58,1.94,193.54,69.41,237.59,gravitaire,améliorée,87.5,0.1,18.84,1.88
2021,Sud-Ouest,palmier_à_huile,grande_saison_pluies,23.13,2513.25,88.02,18.28,2.56,426.97,61.52,54.86,volcanique,5.09,4.98,85.56,40.65,181.18,aspersion,biologique,0,2.21,12.98,28.69
2011,Nord-Ouest,café_arabica,grande_saison_pluies,14.72,2253.92,63.3,27.0,2.77,399.52,51.64,31.35,andosolique,6.21,3.65,89.13,19.48,115.18,pluviale,améliorée,2606.5,0.25,0.45,0.11
2020,Nord,oignon,grande_saison_pluies,27.32,1265.32,67.79,20.73,5.58,429.16,77.73,32.89,vertisol,7.27,2.7,81.38,47.02,166.22,non_irriguée,traditionnelle,308.0,3.06,1.65,5.05
2007,Centre,palmier_à_huile,petite_saison_pluies,23.6,1622.59,75.76,12.67,3.22,398.3,40.78,34.05,alluvial,6.09,4.27,82.22,45.68,185.49,non_irriguée,intégrée,739.4,1.08,13.56,14.64
2005,Littoral,palmier_à_huile,petite_saison_sèche,22.46,2294.95,82.65,14.76,4.31,391.37,63.11,30.53,alluvial,6.53,3.46,105.6,27.19,190.54,non_irriguée,traditionnelle,0,0.52,15.54,8.08
2012,Sud,cacao,grande_saison_pluies,25.16,1915.06,77.1,18.39,4.23,405.69,53.59,51.75,ferrallitique,5.78,3.77,83.54,35.71,114.59,aspersion,traditionnelle,572.0,3.09,0.46,1.42
2010,Littoral,macabo,petite_saison_pluies,27.33,2315.18,80.32,17.51,3.39,397.06,52.1,34.85,alluvial,5.93,3.77,48.14,24.52,81.25,pluviale,améliorée,48.9,3.89,6.17,24.0
2012,Adamaoua,haricot,petite_saison_sèche,18.91,1217.69,67.91,17.81,4.41,411.74,94.1,44.21,limoneux,6.81,2.85,5,55.37,58.87,non_irriguée,conventionnelle,1481.8,2.67,0.33,0.88
2003,Ouest,café_arabica,saison_sèche,19.86,1874.67,65.44,20.46,3.9,379.65,36.09,50.52,ferrallitique_rouge,6.21,2.5,64.57,34.52,86.42,non_irriguée,améliorée,1711.1,1.15,0.66,0.76
2023,Sud-Ouest,thé,petite_saison_sèche,25.54,2922.27,96.93,8,5.65,431.46,70.86,18.48,ferrallitique,4.76,4.53,140.36,30.57,105.69,gravitaire,intégrée,147.3,3.69,1.05,3.87
2002,Centre,cacaotier,petite_saison_sèche,25.36,1710.42,77.01,18.51,3.7,384.59,50.57,35.48,ferrallitique,6.54,4.78,122.73,18.39,128.26,pluviale,améliorée,604.3,0.46,0.47,0.22
2003,Adamaoua,pomme_de_terre,saison_sèche,27.29,1753.35,79.33,15.3,6.19,384.21,89.34,54.27,ferrallitique_lessivé,5.62,3.03,133.63,113.38,181.39,aspersion,améliorée,1159.8,3.46,3.62,12.53
2017,Extrême-Nord,arachide,petite_saison_sèche,31.27,491.89,44.52,17.0,5.05,417.53,89.3,35.7,sableux,5.7,4.51,11.02,40.6,95.57,pluviale,biologique,308.6,1.26,1.72,2.17
2024,Ouest,tomate,grande_saison_pluies,14.23,1815.64,89.63,9.32,4.25,435.72,32.83,21.45,andosolique,6.16,4.02,140.04,49.45,167.08,pluviale,améliorée,1606.9,5.5,3.72,20.46
