annee,region,culture,saison,temperature_C,precipitations_mm,humidite_pct,rayonnement_MJm2,etp_mmd,usage_terres_pct,stress_ecologique_idx,type_sol,ph_sol,matiere_organique_pct,N_kgha,P_kgha,K_kgha,irrigation,pratique_agricole,altitude_m,superficie_ha,rendement_tha,NK_ratio,NP_ratio,NPK_total,indice_aridite,bilan_hydrique,temp_x_humidite,region_encoded,culture_encoded,saison_encoded,type_sol_encoded,irrigation_encoded,pratique_agricole_encoded
2004,Littoral,macabo,petite_saison_pluies,24.17,2243.16,83.21,25.68,5.59,41.74,53.86,sableux_côtier,6.58,3.79,71.72,35.98,82.51,gravitaire,intégrée,71.5,2.39,9.17,0.8588193030774757,1.9394267171444026,190.20999999999998,0.9091820547554542,202.80999999999995,20.111857,4,9,1,12,2,3
2002,Nord,mil,petite_saison_sèche,22.65,775.72,47.55,17.85,5.3,42.09,61.79,sableux,6.78,5.21,33.75,22.4,20.3,non_irriguée,biologique,459.9,0.1,0.39,1.584507042253521,1.4423076923076923,76.45,2.4906015037593985,-1158.78,10.770074999999999,5,12,2,11,3,1
2008,Sud-Ouest,cacaotier,grande_saison_pluies,25.55,3298.06,84.54,16.64,3.75,59.02,61.44,alluvial,6.09,3.24,76.68,37.16,154.66,gravitaire,traditionnelle,250.3,1.72,0.55,0.49261210330206867,2.0094339622641515,268.5,0.41489090831933945,1929.31,21.599970000000003,9,4,0,0,2,4
2009,Ouest,maïs,grande_saison_pluies,21.63,2140.95,83.91,14.84,6.02,49.12,52.38,limoneux,5.65,2.87,58.06,72.81,65.41,aspersion,améliorée,1883.1,0.1,1.76,0.8742659238066557,0.7866142799078716,196.28,1.0258409393309833,-56.34999999999991,18.149732999999998,7,11,0,10,0,0
2017,Nord-Ouest,maïs,petite_saison_pluies,14.05,1287.83,73.46,14.36,4.4,52.96,47.28,andosolique,6.22,4.72,108.79,64.55,91.24,gravitaire,intégrée,1073.6,4.88,1.67,1.1794232437120555,1.6596491228070178,264.58,1.2460914162457426,-318.1700000000003,10.32113,6,11,1,1,2,3
2005,Extrême-Nord,coton,petite_saison_sèche,35.82,697.66,47.01,22.03,5.17,42.09,30.18,vertisol,6.05,0.84,105.78,24.11,30.16,aspersion,intégrée,262.4,2.41,1.03,3.3947368421052633,4.212664277180406,160.04999999999998,2.700956115993473,-1189.3899999999999,16.838981999999998,3,7,2,14,0,3
2008,Adamaoua,patate_douce,petite_saison_sèche,20.78,1447.99,64.18,13.91,5.02,33.76,16.79,ferrallitique_lessivé,5.88,4.74,73.52,19.92,133.08,goutte-à-goutte,intégrée,1175.6,2.43,7.93,0.5483293556085918,3.5143403441682595,226.52,1.264535987135867,-384.30999999999995,13.336604000000001,0,16,2,5,1,3
2002,Sud,café_robusta,petite_saison_sèche,25.92,1233.39,86.46,16.6,4.06,80.92,5.47,hydromorphe,5.79,4.05,63.99,41.84,85.41,goutte-à-goutte,améliorée,537.7,2.78,0.72,0.7405392894340933,1.4936974789915967,191.24,1.2005119937783033,-248.50999999999976,22.410432,8,6,2,8,1,0
2019,Nord-Ouest,haricot,petite_saison_pluies,16.28,1558.71,59.31,15.31,3.02,62.85,72.83,limon-argileux,5.64,2.57,20.01,37.2,70.91,pluviale,conventionnelle,1839.0,0.94,0.55,0.27826449728827707,0.5238219895287958,128.12,0.7067339441306396,456.4100000000001,9.655668,6,8,1,9,4,2
2001,Sud,ananas,petite_saison_pluies,23.51,1618.79,79.7,14.79,4.42,49.94,29.92,sableux_forestier,6.05,3.62,92.94,23.15,231.67,pluviale,intégrée,592.0,5.11,15.46,0.39944986461512016,3.848447204968944,347.76,0.9959933077744646,5.490000000000009,18.737470000000002,8,0,1,13,4,3
2015,Centre,cacaotier,saison_sèche,29.18,1348.63,83.7,21.63,6.2,46.37,54.91,alluvial,6.45,0.85,44.4,41.2,115.04,pluviale,intégrée,724.0,3.32,0.81,0.38262668045501547,1.052132701421801,200.64,1.6767558516037728,-914.3699999999999,24.423659999999998,1,4,3,0,4,3
2002,Nord-Ouest,maïs,saison_sèche,14.87,1484.28,63.33,24.0,4.78,25.47,45.19,limon-argileux,6.1,1.87,91.87,30.11,98.6,aspersion,intégrée,2071.9,1.05,1.7,0.9223895582329318,2.9530697524911607,220.57999999999998,1.1746606700420124,-260.4200000000001,9.417171,6,11,3,9,0,3
2001,Sud-Ouest,palmier_à_huile,petite_saison_pluies,23.97,3288.23,83.59,14.83,4.24,57.61,35.16,alluvial,4.76,1.34,68.07,37.52,199.78,non_irriguée,traditionnelle,85.2,1.22,14.98,0.3390277916127104,1.7671339563862924,305.37,0.47050525502929263,1740.6299999999999,20.036523,9,15,1,0,3,4
2019,Sud-Ouest,ananas,petite_saison_sèche,24.51,3475.83,91.83,18.78,4.03,51.12,35.56,ferrallitique,6.17,3.31,103.6,31.55,219.37,aspersion,biologique,139.6,0.16,4.44,0.47011843717384394,3.1827956989247315,354.52,0.4230721663124168,2004.8799999999999,22.507533000000002,9,0,2,4,0,1
2000,Extrême-Nord,mil,grande_saison_pluies,31.26,599.46,33.16,23.8,4.15,61.08,26.36,vertisol,5.02,2.97,39.74,20.53,21.43,aspersion,conventionnelle,250.1,4.0,0.4,1.7717342844404815,1.845796562935439,81.7,2.522649302201646,-915.2900000000002,10.365816,3,12,0,14,0,2
2004,Sud-Ouest,ananas,petite_saison_pluies,28.11,2974.38,85.74,11.77,4.05,47.82,54.38,ferrallitique,5.25,4.84,63.23,27.04,225.51,non_irriguée,améliorée,8.5,0.71,12.12,0.27914882345150327,2.2549928673323825,315.78,0.49682729600924924,1496.13,24.101513999999998,9,0,1,4,3,0
2011,Nord,coton,saison_sèche,32.23,826.48,24.13,19.03,5.54,35.64,26.45,sableux,6.73,1.63,80.7,35.3,62.21,pluviale,traditionnelle,359.3,2.67,0.92,1.2766967252017085,2.223140495867769,178.21,2.4436844395030692,-1195.62,7.777099,5,7,3,11,4,4
2008,Extrême-Nord,coton,grande_saison_pluies,34.28,547.88,20.0,14.4,5.97,67.83,15.62,vertisol,6.47,4.02,68.5,24.91,28.78,gravitaire,intégrée,150.4,6.21,0.81,2.300201477501679,2.643766885372443,122.19,3.9699934411893305,-1631.1699999999996,6.856,3,7,0,14,2,3
2006,Littoral,bananier,petite_saison_pluies,24.67,2295.13,82.29,20.04,5.14,44.6,58.47,sableux_côtier,5.42,1.62,212.19,50.08,288.29,pluviale,conventionnelle,106.5,0.58,13.88,0.7334854298454837,4.15407204385278,550.56,0.8170704620382991,419.0300000000002,20.300943000000004,4,2,1,12,4,2
2005,Extrême-Nord,coton,petite_saison_sèche,32.52,419.32,43.88,19.48,4.48,59.67,15.65,halomorphe,6.28,4.06,107.49,36.44,88.59,pluviale,intégrée,283.4,0.31,1.43,1.1997990847192765,2.87099358974359,232.52,3.8903692424819187,-1215.88,14.269776000000002,3,7,2,7,4,3
2016,Sud,ananas,grande_saison_pluies,24.01,1544.18,87.83,13.06,3.87,46.39,35.62,hydromorphe,5.83,1.8,77.31,42.81,194.38,aspersion,biologique,539.3,1.31,20.44,0.39569044938069403,1.7646656014608537,314.5,0.9141653399603928,131.6300000000001,21.087982999999998,8,0,0,8,0,1
2022,Littoral,maïs,grande_saison_pluies,22.87,2605.57,78.75,10.55,4.19,97.77,45.47,ferrallitique,5.55,1.94,96.02,47.88,78.17,goutte-à-goutte,traditionnelle,0.0,3.85,0.15,1.2128331438676265,1.9644026186579375,222.07,0.586728919614666,1076.22,18.010125000000002,4,11,0,4,1,4
2002,Sud-Ouest,ananas,petite_saison_sèche,26.59,3265.09,88.95,23.4,5.58,76.23,57.07,ferrallitique,5.23,5.24,89.27,41.73,198.93,pluviale,traditionnelle,205.0,0.1,6.03,0.4465062771970189,2.089164521413527,329.93,0.6235896745037645,1228.39,23.651805,9,0,2,4,4,4
2015,Sud,ananas,saison_sèche,24.23,1524.19,83.46,19.56,2.54,45.12,22.79,hydromorphe,5.37,1.76,111.41,30.02,288.35,goutte-à-goutte,conventionnelle,624.5,3.42,12.74,0.385035424226715,3.591553836234687,429.78000000000003,0.6078586930152965,597.09,20.222358,8,0,3,8,1,2
2010,Ouest,oignon,petite_saison_sèche,23.98,2279.0,76.17,16.03,3.56,74.04,40.0,andosolique,6.38,0.52,112.63,42.56,144.13,non_irriguée,traditionnelle,981.1,0.52,2.22,0.7760628402122235,2.585629017447199,299.32,0.5699122807017545,979.5999999999999,18.265566,7,14,2,1,3,4
2024,Centre,manioc,petite_saison_sèche,23.6,1712.0,68.86,17.85,3.02,40.33,25.12,ferrallitique,5.88,2.69,57.68,32.83,123.43,gravitaire,conventionnelle,753.7,4.24,8.54,0.4635538053524069,1.7049955660656224,213.94,0.6434909515469935,609.7,16.25096,1,10,2,4,2,2
2012,Centre,ananas,petite_saison_pluies,26.32,1425.53,78.05,18.32,5.45,52.01,30.03,ferrallitique,5.95,3.91,82.08,57.2,178.11,goutte-à-goutte,intégrée,887.7,0.1,12.85,0.45826587013567077,1.4103092783505153,317.39,1.394467694335205,-563.72,20.542759999999998,1,0,1,4,1,3
2002,Littoral,macabo,petite_saison_sèche,24.09,2442.38,93.42,14.84,4.33,43.49,43.92,sableux_côtier,5.19,3.95,37.58,22.84,91.59,pluviale,améliorée,22.0,4.31,4.45,0.4058753645102062,1.5763422818791946,152.01,0.6468293920716385,861.9300000000001,22.504877999999998,4,9,2,12,4,0
2004,Littoral,ananas,petite_saison_pluies,27.84,1923.61,73.43,18.27,4.13,42.35,24.45,alluvial,5.4,1.65,83.69,43.53,204.88,pluviale,biologique,182.8,3.16,15.47,0.40649893141635907,1.8794071412530877,332.1,0.7832495934241224,416.15999999999985,20.442912,4,0,1,0,4,1
2001,Nord-Ouest,riz,petite_saison_pluies,19.66,1825.49,70.22,13.53,4.34,55.9,53.77,limon-argileux,5.9,1.0,90.95,60.77,63.88,goutte-à-goutte,conventionnelle,2128.0,0.1,2.07,1.401818742293465,1.4723976040148938,215.6,0.8672919096189959,241.3900000000001,13.805252000000001,6,19,1,9,1,2
2003,Est,manioc,grande_saison_pluies,23.06,1221.47,75.42,13.66,4.86,51.45,35.34,ferrallitique,5.51,1.45,53.58,27.07,107.06,goutte-à-goutte,biologique,665.7,4.68,4.91,0.4958356468628539,1.9087994299964375,187.71,1.4510785540749467,-552.4300000000001,17.391852,2,10,0,4,1,1
2019,Est,palmier_à_huile,grande_saison_pluies,22.19,1354.58,87.22,21.39,5.26,58.72,23.6,hydromorphe,5.13,4.86,105.24,49.55,172.52,pluviale,intégrée,804.0,1.81,11.82,0.6065006915629322,2.081899109792285,327.31,1.416294132400891,-565.3199999999999,19.354118,2,15,0,8,4,3
2001,Sud,ananas,petite_saison_pluies,28.39,1783.23,82.38,13.31,5.35,51.08,30.86,sableux_forestier,5.28,4.15,109.89,32.49,214.98,gravitaire,améliorée,613.2,4.02,14.26,0.5087971108435967,3.2812779934308747,357.36,1.0944497065961225,-169.51999999999975,23.387681999999998,8,0,1,13,2,0
2014,Sud,manioc,petite_saison_sèche,24.62,1683.62,88.65,20.23,2.7,59.94,30.14,ferrallitique,5.68,3.75,64.05,41.0,119.37,non_irriguée,intégrée,519.7,2.52,6.21,0.5321093295671678,1.525,224.42000000000002,0.5849983972646652,698.1199999999998,21.82563,8,10,2,4,3,3
2019,Sud-Ouest,bananier,saison_sèche,25.97,2639.68,89.5,23.08,3.29,60.48,15.25,ferrallitique,6.82,2.54,178.15,68.63,300.81,pluviale,traditionnelle,211.4,2.77,14.42,0.590272025446473,2.558523624874336,547.59,0.4547502915915597,1438.83,23.24315,9,2,3,4,4,4
2018,Nord,oignon,petite_saison_sèche,36.8,1002.87,51.03,15.61,4.19,64.4,58.23,sableux,6.89,4.08,76.14,64.02,80.58,aspersion,conventionnelle,552.4,3.0,2.23,0.9333169894582005,1.1710243002153184,220.74,1.5234542321216893,-526.4800000000001,18.77904,5,14,2,11,0,2
2015,Ouest,tomate,petite_saison_pluies,19.47,1581.86,75.96,15.35,5.45,74.25,56.74,ferrallitique_rouge,6.25,2.28,172.8,73.5,141.47,aspersion,biologique,1291.3,0.69,6.88,1.2128869235628554,2.319463087248322,387.77,1.256744121400503,-407.3900000000001,14.789411999999997,7,23,1,6,0,1
2012,Est,manioc,saison_sèche,23.7,1528.84,89.95,21.63,4.52,39.64,38.75,hydromorphe,6.71,0.56,50.51,16.97,132.1,aspersion,biologique,534.4,3.75,7.09,0.37948910593538693,2.810795770728993,199.57999999999998,1.0784134288553051,-120.96000000000004,21.31815,2,10,3,8,0,1
2024,Ouest,café_arabica,saison_sèche,23.71,1645.51,81.13,17.39,3.2,58.45,35.38,andosolique,6.09,3.12,78.07,42.28,63.01,pluviale,améliorée,1578.4,4.08,0.86,1.2196531791907514,1.8038354898336413,183.35999999999999,0.7093792324370942,477.51,19.235923,7,5,3,1,4,0
2006,Centre,ananas,saison_sèche,24.03,1871.45,90.54,15.1,5.45,37.67,16.64,ferrallitique,5.09,3.04,61.53,23.1,176.2,goutte-à-goutte,améliorée,847.9,2.43,15.66,0.347234762979684,2.5531120331950206,260.83,1.0623781676413255,-117.79999999999995,21.756762000000002,1,0,3,4,1,0
2024,Sud,ananas,saison_sèche,27.0,1800.21,86.83,16.51,4.18,48.57,35.61,ferrallitique,6.6,1.83,82.85,22.03,176.88,non_irriguée,conventionnelle,447.6,3.87,23.56,0.465763436024286,3.597481545809813,281.76,0.8470417108499285,274.5100000000002,23.4441,8,0,3,4,3,2
2007,Nord-Ouest,riz,petite_saison_pluies,19.47,1772.76,71.95,16.47,4.12,44.79,31.34,ferrallitique_rouge,5.2,4.03,107.68,35.05,79.24,aspersion,biologique,1473.9,2.64,1.72,1.3419740777667,2.986962552011096,221.97000000000003,0.8478035359913404,268.96000000000004,14.008664999999999,6,19,1,6,0,1
2007,Ouest,café_arabica,petite_saison_sèche,24.31,1633.93,73.43,23.36,3.79,42.29,39.33,limoneux,6.32,0.97,71.79,39.65,98.59,goutte-à-goutte,conventionnelle,1690.1,1.57,0.34,0.7208555075810825,1.7660516605166054,210.03,0.8461218523117197,250.58000000000015,17.850833,7,5,2,10,1,2
2012,Est,bananier,grande_saison_pluies,21.37,1620.9,97.65,14.87,5.06,44.71,40.17,alluvial,5.34,2.87,243.51,94.45,285.03,aspersion,améliorée,694.1,0.1,17.61,0.8513442645876307,2.5511786275536927,622.99,1.1387261853381834,-225.99999999999977,20.867805000000004,2,2,0,0,0,0
2008,Sud-Ouest,cacaotier,saison_sèche,22.19,3341.28,91.72,20.56,4.85,68.49,39.45,volcanique,6.04,4.27,90.95,19.74,152.92,pluviale,biologique,0.0,3.75,0.54,0.5908913721413722,4.385245901639345,263.61,0.5296534102468973,1571.0300000000004,20.352668,9,4,3,15,4,1
2017,Est,palmier_à_huile,petite_saison_sèche,29.02,1586.05,79.7,20.07,6.38,68.89,40.25,ferrallitique,6.0,3.34,106.45,45.68,129.32,gravitaire,améliorée,530.0,2.23,16.55,0.8168354818907305,2.280419880034276,281.45,1.4673135692007182,-742.6499999999999,23.128940000000004,2,15,2,4,2,0
2006,Nord,tomate,petite_saison_sèche,28.64,968.95,44.69,14.94,3.79,60.34,35.11,sableux,5.58,2.37,127.14,50.57,227.97,non_irriguée,conventionnelle,502.5,3.96,3.06,0.5552692492466262,2.465386852821408,405.68,1.4262075364709519,-414.39999999999986,12.799216,5,23,2,11,3,2
2010,Extrême-Nord,oignon,petite_saison_sèche,28.88,610.64,38.49,16.12,3.26,92.63,24.73,sableux,5.83,2.15,77.04,44.93,144.54,non_irriguée,intégrée,358.9,3.03,6.1,0.5293390133296689,1.6773350751143046,266.51,1.9454254136420115,-579.2599999999999,11.115912000000002,3,14,2,11,3,3
2009,Est,maïs,grande_saison_pluies,26.3,1236.35,75.91,20.21,4.58,67.19,59.72,hydromorphe,5.43,3.84,72.0,67.87,64.06,pluviale,améliorée,570.9,4.12,0.9,1.1066707654472794,1.045447945404385,203.93,1.3510324483775813,-435.35000000000014,19.96433,2,11,0,8,4,0
2022,Ouest,café_arabica,saison_sèche,19.12,1828.04,80.48,14.16,3.47,78.27,31.15,limoneux,5.62,2.61,90.99,44.0,91.49,goutte-à-goutte,biologique,1467.2,3.59,0.61,0.9837820304897826,2.022,226.48000000000002,0.6924670865590693,561.4899999999998,15.387776,7,5,3,10,1,1
2014,Nord,oignon,grande_saison_pluies,25.67,678.45,55.43,19.95,4.73,43.97,64.64,brun_subaride,6.16,3.1,59.38,57.13,177.18,aspersion,traditionnelle,326.5,5.37,7.18,0.333258502637782,1.0215035265783587,293.69,2.5409522407829863,-1048.0,14.228881000000001,5,14,0,3,0,4
2008,Sud-Ouest,poivre,petite_saison_pluies,28.36,2331.27,82.77,19.49,4.49,25.95,51.52,alluvial,5.91,3.07,53.44,28.73,81.32,aspersion,biologique,231.8,0.1,1.48,0.6491739552964043,1.7975109317188025,163.49,0.7026845090834253,692.4199999999998,23.473572,9,17,1,0,0,1
2000,Centre,tomate,petite_saison_pluies,28.02,1387.69,75.1,22.74,4.28,21.35,37.58,ferrallitique,6.42,4.64,139.45,55.83,176.26,pluviale,intégrée,611.7,2.89,10.03,0.7866975064876452,2.453809607601619,371.53999999999996,1.124945092137194,-174.51,21.04302,1,23,1,4,4,3
2003,Nord,arachide,petite_saison_pluies,28.04,1087.41,56.56,27.57,6.2,32.41,37.83,vertisol,5.68,2.56,16.0,53.05,75.44,pluviale,améliorée,513.1,2.55,1.06,0.20931449502878074,0.2960222016651249,144.49,2.0791797208772427,-1175.59,15.859423999999999,5,1,1,14,4,0
2024,Littoral,cacaotier,petite_saison_pluies,25.04,2619.62,95.85,17.54,3.99,33.25,26.06,sableux_côtier,5.77,3.14,12.05,58.16,140.38,gravitaire,améliorée,58.5,3.4,0.5,0.08523129155467535,0.20368492224476,210.58999999999997,0.5557272706458778,1163.2699999999998,24.000839999999997,4,4,1,12,2,0
2012,Sud-Ouest,poivre,petite_saison_pluies,26.51,2435.06,94.72,15.88,4.33,44.99,37.07,alluvial,5.6,4.77,55.88,31.26,62.4,aspersion,conventionnelle,2.1,3.97,1.66,0.8813880126182966,1.7321760694358337,149.54,0.6487730187269608,854.6099999999999,25.110272,9,17,1,0,0,2
2020,Adamaoua,pomme_de_terre,saison_sèche,21.07,1542.47,59.22,17.74,4.15,53.94,37.73,brun_eutrophe,5.58,3.36,138.77,76.96,244.94,non_irriguée,conventionnelle,1116.3,3.16,6.73,0.5642433113767586,1.7800153925089792,460.67,0.9813925764673108,27.7199999999998,12.477654,0,18,3,2,3,2
2011,Littoral,palmier_à_huile,petite_saison_pluies,25.3,2481.41,88.32,18.43,5.05,10.47,36.11,ferrallitique,5.13,2.35,133.34,53.55,199.07,aspersion,conventionnelle,46.2,1.29,11.28,0.6664667366421753,2.444362969752521,385.96,0.742524401690293,638.1599999999999,22.34496,4,15,1,4,0,2
2015,Ouest,maïs,petite_saison_pluies,20.01,1501.57,83.02,19.33,5.14,81.01,36.34,ferrallitique_rouge,6.43,3.79,104.86,54.26,112.88,non_irriguée,améliorée,1444.5,3.4,1.59,0.9207938180540921,1.8975750995294969,272.0,1.2485940754840041,-374.53,16.612302,7,11,1,6,3,0
2005,Adamaoua,maïs,petite_saison_sèche,22.82,1650.87,54.0,25.86,5.97,75.66,48.94,brun_eutrophe,6.75,2.48,71.27,48.31,85.47,goutte-à-goutte,traditionnelle,1100.2,2.21,1.63,0.824216491268648,1.4453457716487526,205.05,1.3191413367880038,-528.1799999999998,12.322799999999999,0,11,2,2,1,4
2004,Adamaoua,patate_douce,saison_sèche,24.07,1775.13,62.46,19.56,2.6,52.24,45.26,limoneux,6.0,3.36,66.0,29.41,149.59,goutte-à-goutte,traditionnelle,1039.8,0.1,5.32,0.4382761139517896,2.1703387043735614,245.0,0.5343077364832529,826.1300000000001,15.034122,0,16,3,10,1,4
2002,Extrême-Nord,mil,grande_saison_pluies,38.75,694.8,34.56,21.91,4.55,57.9,19.69,halomorphe,5.93,3.3,41.29,23.91,33.9,goutte-à-goutte,biologique,169.5,4.43,0.86,1.1830945558739254,1.6575672420714571,99.1,2.38682092555332,-965.95,13.392000000000001,3,12,0,7,1,1
2018,Centre,palmier_à_huile,petite_saison_pluies,23.8,1678.06,81.35,24.38,4.85,66.23,15.72,alluvial,5.35,2.75,67.56,47.82,142.76,gravitaire,améliorée,551.3,3.74,13.2,0.469949916527546,1.3838590741499386,258.14,1.0543101497266327,-92.18999999999983,19.3613,1,15,1,0,2,0
2009,Littoral,macabo,saison_sèche,23.0,2721.23,87.45,19.88,3.26,31.81,59.82,ferrallitique,5.31,2.23,67.22,28.44,91.24,pluviale,conventionnelle,235.4,1.6,6.29,0.7287510841283609,2.2832880434782608,186.89999999999998,0.43710487357791217,1531.3300000000002,20.113500000000002,4,9,3,4,4,2
2012,Est,riz,petite_saison_pluies,29.87,1268.64,65.44,21.44,6.66,50.68,62.22,alluvial,6.37,0.66,89.98,58.88,87.87,goutte-à-goutte,conventionnelle,495.5,1.43,3.38,1.0124901541577584,1.5026720106880427,236.73000000000002,1.9146372199993698,-1162.26,19.546928,2,19,1,0,1,2
2002,Extrême-Nord,oignon,saison_sèche,32.11,715.84,43.2,23.5,5.04,57.92,32.63,halomorphe,6.67,0.93,112.43,69.49,149.55,goutte-à-goutte,traditionnelle,320.6,2.88,2.72,0.746795084689472,1.5949780110653995,331.47,2.566263043356955,-1123.7599999999998,13.87152,3,14,3,7,1,4
2013,Extrême-Nord,sorgho,petite_saison_pluies,27.5,790.07,20.0,22.83,5.13,44.01,46.87,vertisol,5.82,4.13,47.34,19.32,58.51,non_irriguée,biologique,238.2,2.94,0.51,0.7954965552008066,2.329724409448819,125.16999999999999,2.3669839584360424,-1082.38,5.5,3,21,1,14,3,1
2007,Nord,arachide,grande_saison_pluies,38.76,525.62,38.27,24.99,5.2,45.87,36.23,vertisol,5.74,1.61,20.71,31.07,82.88,goutte-à-goutte,traditionnelle,415.9,3.72,1.05,0.24690033381020507,0.6457748674773932,134.66,3.604116820477764,-1372.38,14.833452,5,1,0,14,1,4
2018,Est,manioc,petite_saison_pluies,23.04,1561.62,91.73,19.32,5.37,39.7,50.79,hydromorphe,6.36,3.68,60.88,37.87,106.41,goutte-à-goutte,intégrée,540.7,1.5,5.26,0.5668001117214413,1.566246462567533,205.16,1.2543356670207728,-398.43000000000006,21.134592,2,10,1,8,1,3
2021,Sud,ananas,petite_saison_sèche,24.79,1533.93,93.49,23.91,3.59,48.54,48.15,ferrallitique,5.74,3.65,112.7,41.2,271.52,gravitaire,traditionnelle,678.6,4.62,30.76,0.41354762953177754,2.670616113744076,425.41999999999996,0.8536871388271777,223.58000000000015,23.176171,8,0,2,4,2,4
2019,Nord-Ouest,maïs,petite_saison_pluies,26.22,1752.93,70.66,23.32,3.62,58.27,48.5,limon-argileux,4.81,2.91,93.55,60.65,83.18,pluviale,intégrée,1737.1,1.07,0.73,1.1113090995485861,1.5174371451743713,237.38,0.7533367922323011,431.6300000000001,18.527051999999998,6,11,1,9,4,3
2008,Centre,ananas,saison_sèche,22.73,1893.54,86.76,16.58,4.79,59.36,45.55,hydromorphe,4.99,3.33,105.66,34.98,165.11,non_irriguée,biologique,629.5,2.96,14.43,0.636084522304497,2.936631461923291,305.75,0.9228361502000485,145.19000000000005,19.720548,1,0,3,8,3,1
2012,Extrême-Nord,niébé,petite_saison_pluies,40.3,656.89,40.35,20.65,5.97,76.47,25.91,sableux,6.23,5.18,22.26,18.53,43.03,aspersion,intégrée,269.2,1.46,0.61,0.5055643879173292,1.1397849462365592,83.82000000000001,3.312179847694903,-1522.1599999999999,16.26105,3,13,1,11,0,3
2024,Sud,bananier,grande_saison_pluies,26.7,1809.76,78.73,17.54,2.79,28.39,31.56,sableux_forestier,5.86,5.62,151.34,16.82,329.09,pluviale,biologique,636.3,2.9,13.34,0.4584810203277894,8.492704826038159,497.25,0.5623881685038327,791.41,21.02091,8,2,0,13,4,1
